rom,title,year,manufacturer
3x3puzzl,3X3 Puzzle (Enterprise),1998,Ace Enterprise
3x3puzzla,3X3 Puzzle (Normal),1998,Ace Enterprise
4004clk,4004 Nixie Clock,2008,John L. Weinrich
40105,40105,,
40love,Forty-Love,1984,Taito Corporation
47pie2,Idol Janshi Su-Chi-Pie 2 (v1.1),1994,Jaleco
47pie2o,Idol Janshi Su-Chi-Pie 2 (v1.0),1994,Jaleco
48in1,"48 in 1 MAME bootleg (set 1, ver 3.09)",2004,bootleg
48in1a,"48 in 1 MAME bootleg (set 3, ver 3.02)",2004,bootleg
48in1b,"48 in 1 MAME bootleg (set 2, ver 3.09, alt flash)",2004,bootleg
4dwarrio,4-D Warriors (315-5162),1985,Coreland / Sega
4enlinea,Cuatro en Linea,1991,Compumatic
4enlinea_cga,ISA8_CGA_4ENLINEA,,
4enraya,4 En Raya (set 1),1990,IDSA
4enrayaa,4 En Raya (set 2),1990,IDSA
4in1,4 Fun in 1,1981,Armenia / Food and Fun
4in1a,"4 in 1 MAME bootleg (set 1, ver 3.00)",2004,bootleg
4in1b,4 in 1 MAME bootleg (set 2),2004,bootleg
4in1boot,"Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)",2002,K1 Soft
4psimasy,Mahjong 4P Simasyo (Japan),1994,Sphinx / AV Japan
4roses,"Four Roses (encrypted, set 1)",1999,<unknown>
4rosesa,"Four Roses (encrypted, set 2)",1999,<unknown>
500gp,500 GP (5GP3 Ver. C),1998,Namco
5061-3001,HP-5061-3001,,
5061-3011,HP-5061-3011,,
50lions,"50 Lions (10120511, NSW/ACT)",2002,Aristocrat
50lionsa,"50 Lions (10156111, Malaysia)",2003,Aristocrat
56xx,Namco 56xx,,
58xx,Namco 58xx,,
59xx,Namco 59xx,,
5a22,5A22,,
5acespkr,5-Aces Poker,198?,<unknown>
5clown,"Five Clown (English, set 1)",1993,IGS
5clowna,"Five Clown (English, set 2)",1993,IGS
5clownsp,Five Clown (Spanish hack),1993,IGS
600,600,1981,Konami
60in1,60 in 1 MAME bootleg (ver 3.00),2004,bootleg
64street,64th. Street - A Detective Story (World),1991,Jaleco
64streetj,"64th. Street - A Detective Story (Japan, set 1)",1991,Jaleco
64streetja,"64th. Street - A Detective Story (Japan, set 2)",1991,Jaleco
68ksbc,68k Single Board Computer,2002,Wichit Sirichote
720,720 Degrees (rev 4),1986,Atari Games
720g,"720 Degrees (German, rev 2)",1986,Atari Games
720gr1,"720 Degrees (German, rev 1)",1986,Atari Games
720r1,720 Degrees (rev 1),1986,Atari Games
720r2,720 Degrees (rev 2),1986,Atari Games
720r3,720 Degrees (rev 3),1986,Atari Games
74148,74148 TTL,,
74153,74153 TTL,,
7474,7474 TTL,,
7jigen,7jigen no Youseitachi - Mahjong 7 Dimensions (Japan),1990,Dynax
7mezzo,7 e Mezzo,198?,<unknown>
7ordi,7 Ordi (Korea),2002,Yun Sung
7smash,7 Smash,1993,Sovic
7toitsu,Chi-Toitsu,1988,Yuga
800fath,800 Fathoms,1981,Amenip (US Billiards Inc. license)
86lions,86 Lions,1985,Aristocrat
88games,88 Games,1988,Konami
8ball,Video Eight Ball,1982,Century Electronics
8ball1,Video Eight Ball (Rev.1),1982,Century Electronics
8ballact,Eight Ball Action (DK conversion),1984,Seatongrove Ltd (Magic Electronics USA license)
8ballact2,Eight Ball Action (DKJr conversion),1984,Seatongrove Ltd (Magic Electronics USA license)
8bpm,Eight Ball Action (Pac-Man conversion),1985,Seatongrove Ltd (Magic Electronics USA license)
8x300,Signetics 8X300,,
93c06_16,Serial EEPROM 93C06 (16x16),,
93c46_16,Serial EEPROM 93C46 (64x16),,
93c46_8,Serial EEPROM 93C46 (128x8),,
93c56_16,Serial EEPROM 93C56 (128x16),,
93c56_8,Serial EEPROM 93C56 (256x8),,
93c66_16,Serial EEPROM 93C66 (256x16),,
93c66_8,Serial EEPROM 93C66 (512x8),,
93c76_8,Serial EEPROM 93C76 (1024x8),,
98best44,Neo Print - '98 NeoPri Best 44 (Japan) (T4i 3.07),1998,SNK
990189,TM 990/189 University Board microcomputer,1978,Texas Instruments
990189v,TM 990/189 University Board microcomputer with Video Board Interface,1980,Texas Instruments
99bottles,99 Bottles of Beer,1999,Bally Gaming Co.
99lstwar,99: The Last War (set 1),1985,Crux / Proma
99lstwara,99: The Last War (set 2),1985,Crux / Proma
99lstwark,99: The Last War (Kyugo),1985,Crux / Kyugo
9ballsht,9-Ball Shootout (set 1),1993,E-Scape EnterMedia (Bundra license)
9ballsht2,9-Ball Shootout (set 2),1993,E-Scape EnterMedia (Bundra license)
9ballsht3,9-Ball Shootout (set 3),1993,E-Scape EnterMedia (Bundra license)
9ballshtc,9-Ball Shootout Championship,1993,E-Scape EnterMedia (Bundra license)
a1000,Amiga 1000 (PAL),1985,Commodore
a1000n,Amiga 1000 (NTSC),1985,Commodore
a1200,Amiga 1200 (PAL),1992,Commodore
a1200n,Amiga 1200 (NTSC),1992,Commodore
a1200xl,Atari 1200XL,1982,Atari
a130xe,Atari 130XE,1986,Atari
a1bus,Apple I Bus,,
a1bus_slot,Apple I Slot,,
a1cass,Apple I cassette board,,
a2000,Amiga 2000 (PAL),1987,Commodore
a2000n,Amiga 2000 (NTSC),1987,Commodore
a2052,CBM A2052 Fast Memory,,
a2091,CBM A2091 HD Controller,,
a2232,CBM A2232 Serial Card,,
a2600,Atari 2600 (NTSC),1977,Atari
a2600_cm,Atari 2600 ROM Cart Compumate,,
a2600_dcp,Atari 2600 ROM Cart Pitfall II,,
a2600_harmony,Atari 2600 ROM Cart HARMONY/MELODY,,
a2600_ss,Atari 2600 ROM Cart Supercharger,,
a2600p,Atari 2600 (PAL),1978,Atari
a2aesms,Applied Engineering Super Music Synthesizer,,
a2alfam2,ALF MC1 / Apple Music II,,
a2ap16,IBS AP-16 80 column card,,
a2ap16a,IBS AP-16 80 column card (alt. version),,
a2aplcrd,PCPI Applicard,,
a2arcbd,Third Millenium Engineering Arcade Board,,
a2bus,Apple II Bus,,
a2bus_slot,Apple II Slot,,
a2cffa02,"CFFA2000 Compact Flash (6502 firmware, www.dreher.net)",,
a2cffa2,"CFFA2000 Compact Flash (65C02 firmware, www.dreher.net)",,
